timestamp_ms,eps1_s1,eps2_s1,eps3_s1,eps4_s1,eps5_s1,eps6_s1,eps1_s2,eps2_s2,eps3_s2,eps4_s2,eps5_s2,eps6_s2,eps1_s3,eps2_s3,eps3_s3,eps4_s3,eps5_s3,eps6_s3
0,0.000000,0.000000,0.000000,0.000000,0.840000,0.798000,1.398600,1.683500,5.764600,0.812100,0.001200,0.001200,-0.002100,0.256500,5.171900,0.737100,-0.839700,-0.797700
50,0.014700,0.019500,0.096700,0.013800,0.839700,0.797700,1.398600,1.689300,5.880600,0.828300,-0.008700,-0.008100,-0.027300,0.231700,5.178700,0.738000,-0.839700,-0.797700
100,0.029400,0.039200,0.197400,0.027900,0.839700,0.797700,1.398600,1.695000,5.994600,0.844800,-0.018600,-0.017700,-0.054600,0.204600,5.181400,0.738600,-0.839700,-0.797700
150,0.046200,0.061100,0.300200,0.042300,0.839400,0.797400,1.396500,1.698600,6.108500,0.861000,-0.028800,-0.027300,-0.079800,0.179500,5.182200,0.738900,-0.839400,-0.797400
200,0.060900,0.081000,0.404900,0.057300,0.838800,0.796800,1.396500,1.704300,6.222500,0.877200,-0.038700,-0.036900,-0.107100,0.152100,5.178900,0.738600,-0.838800,-0.796800
250,0.077700,0.103100,0.511700,0.072300,0.838200,0.796500,1.394400,1.707800,6.334400,0.893100,-0.048900,-0.046500,-0.132300,0.126700,5.173700,0.738000,-0.838200,-0.796200
300,0.092400,0.123300,0.622400,0.087900,0.837600,0.795900,1.392300,1.711300,6.446301,0.909300,-0.059100,-0.056100,-0.159600,0.099000,5.164400,0.737100,-0.837600,-0.795600
350,0.109200,0.145600,0.733200,0.103800,0.837000,0.795000,1.390200,1.714800,6.558200,0.925200,-0.069000,-0.065700,-0.184800,0.073300,5.153200,0.735600,-0.836700,-0.795000
400,0.123900,0.166000,0.847900,0.120000,0.836100,0.794100,1.388100,1.718200,6.668100,0.940800,-0.079200,-0.075000,-0.212100,0.045400,5.139900,0.733800,-0.835800,-0.794100
450,0.140700,0.188500,0.962700,0.136200,0.834900,0.793200,1.386000,1.721600,6.778000,0.956400,-0.089100,-0.084600,-0.237300,0.019400,5.122700,0.731700,-0.834900,-0.793200
500,0.155400,0.209100,1.081400,0.153000,0.833700,0.792000,1.383900,1.724900,6.885900,0.972000,-0.099000,-0.094200,-0.262500,-0.006800,5.101500,0.728700,-0.833700,-0.792000
550,0.172200,0.231800,1.200200,0.170100,0.832500,0.790800,1.379700,1.726100,6.993701,0.987000,-0.109200,-0.103500,-0.289800,-0.035200,5.078200,0.725700,-0.832500,-0.790800
600,0.186900,0.252600,1.322900,0.187200,0.831300,0.789600,1.375500,1.727200,7.099500,1.002300,-0.119100,-0.113100,-0.315000,-0.061700,5.051000,0.722100,-0.831000,-0.789300
650,0.201600,0.273500,1.447600,0.204900,0.829500,0.788100,1.373400,1.730300,7.203400,1.017000,-0.129000,-0.122700,-0.340200,-0.088300,5.021800,0.717900,-0.829500,-0.788100
700,0.218400,0.296500,1.572400,0.222600,0.828000,0.786600,1.369200,1.731200,7.305201,1.031700,-0.138900,-0.132000,-0.367500,-0.117200,4.988500,0.713400,-0.827700,-0.786300
750,0.233100,0.317500,1.699100,0.240600,0.826200,0.785100,1.362900,1.729900,7.404901,1.046100,-0.148800,-0.141600,-0.392700,-0.144100,4.953300,0.708300,-0.825900,-0.784800
800,0.247800,0.338600,1.827800,0.258900,0.824400,0.783300,1.358700,1.730700,7.504700,1.060200,-0.158700,-0.150900,-0.417900,-0.171300,4.912100,0.702900,-0.824100,-0.783000
850,0.264600,0.361900,1.958600,0.277200,0.822300,0.781200,1.354500,1.731300,7.600501,1.074000,-0.168600,-0.160200,-0.443100,-0.198500,4.870900,0.696900,-0.822300,-0.780900
900,0.279300,0.383200,2.091300,0.296100,0.820200,0.779400,1.348200,1.729800,7.696200,1.087500,-0.178500,-0.169800,-0.468300,-0.226000,4.823700,0.690600,-0.819900,-0.779100
950,0.294000,0.404500,2.224000,0.315000,0.818100,0.777300,1.341900,1.728100,7.787900,1.100700,-0.188400,-0.179100,-0.493500,-0.253600,4.774500,0.683700,-0.817800,-0.777000
1000,0.308700,0.425900,2.358700,0.333900,0.815700,0.774900,1.337700,1.728500,7.879700,1.113600,-0.198300,-0.188400,-0.518700,-0.281400,4.721300,0.676200,-0.815400,-0.774600
1050,0.323400,0.447300,2.493400,0.353100,0.813300,0.772500,1.331400,1.726600,7.967401,1.126200,-0.207900,-0.197700,-0.543900,-0.309400,4.664100,0.668400,-0.813000,-0.772200
1100,0.340200,0.470900,2.630200,0.372600,0.810600,0.770100,1.323000,1.722500,8.053000,1.138500,-0.217800,-0.207000,-0.569100,-0.337500,4.604900,0.660000,-0.810300,-0.769800
1150,0.354900,0.492500,2.768900,0.392100,0.808200,0.767700,1.316700,1.720400,8.136701,1.150500,-0.227400,-0.216000,-0.594300,-0.365800,4.541700,0.651300,-0.807600,-0.767400
1200,0.369600,0.514100,2.907600,0.411900,0.805200,0.765000,1.310400,1.718100,8.216400,1.161900,-0.237300,-0.225300,-0.617400,-0.392100,4.476600,0.642000,-0.804900,-0.764700
1250,0.384300,0.535700,3.046300,0.431700,0.802200,0.762300,1.302000,1.713600,8.294001,1.173000,-0.246900,-0.234600,-0.642600,-0.420700,4.407400,0.632400,-0.801900,-0.761700
1300,0.399000,0.557400,3.187000,0.451500,0.799200,0.759300,1.293600,1.709000,8.369600,1.183800,-0.256500,-0.243600,-0.667800,-0.449500,4.334200,0.622200,-0.798900,-0.759000
1350,0.413700,0.579100,3.327700,0.471600,0.796200,0.756300,1.285200,1.704200,8.441200,1.194000,-0.266100,-0.252600,-0.690900,-0.476300,4.259100,0.611400,-0.795600,-0.756000
1400,0.426300,0.598800,3.470300,0.491400,0.792900,0.753300,1.276800,1.699200,8.508801,1.203900,-0.275700,-0.261900,-0.716100,-0.505400,4.179900,0.600300,-0.792300,-0.752700
