Designator,Mid X,Mid Y,Rotation,Layer
C1,7.0,42.59,0.0,top
C2,17.72,14.99,160.0,bottom
C3,13.8,24.59,180.0,bottom
C4,16.7,25.19,315.0,bottom
C5,25.960589,26.729411,315.0,bottom
C6,24.960589,27.69,315.0,bottom
C7,7.0,41.39,0.0,top
C8,22.475,25.915,270.0,bottom
C9,23.5,24.94,270.0,bottom
D1,3.75,36.360835,150.0,top
D2,3.75,47.619165,30.0,top
D3,13.5,41.99,270.0,top
J1,26.26076,22.72924,315.0,bottom
Q1,-1.919873,16.540327,330.0,top
Q2,-10.580127,21.540327,330.0,top
Q3,-10.580127,62.439673,210.0,top
Q4,-1.919873,67.439673,210.0,top
Q5,33.5,46.99,90.0,top
Q6,33.5,36.99,90.0,top
R1,-3.6359,15.568084,330.0,top
R10,11.3,40.49,180.0,top
R2,-12.296154,20.568084,330.0,top
R3,21.717178,20.199096,255.0,bottom
R4,-10.564102,64.411916,210.0,top
R5,-1.903848,69.411916,210.0,top
R6,35.2,45.99,90.0,top
R7,35.2,35.99,90.0,top
R8,3.550962,39.016089,60.0,top
R9,6.149038,46.463909,300.0,top
U1,16.0,19.99,270.0,bottom
